,logFC,logCPM,PValue,FDR
PFKFB2,5.920485776,6.058871654,6.57E-32,1.02E-27
TMEM165,2.495903308,4.061248539,1.64E-30,1.27E-26
IRAK3,3.575003647,7.01850406,4.94E-28,2.56E-24
FGD4,2.840218871,4.149675494,6.72E-28,2.61E-24
KIF1B,2.897870372,5.659703679,2.15E-26,6.69E-23
KLHL2,3.519089855,5.176676523,5.10E-26,1.32E-22
MKNK1,2.533813246,6.888587419,1.31E-25,2.91E-22
LOC122526776,3.700524389,3.814186678,4.23E-24,8.22E-21
FHIP2A,2.1880887,3.837881571,7.60E-24,1.31E-20
IL18R1,4.071313834,5.812189505,4.61E-23,7.16E-20
PFKFB3,3.842097483,7.532914333,5.07E-23,7.16E-20
KLF7,2.351988656,5.490131328,8.77E-23,1.14E-19
IL1R1,3.401790011,4.874605838,2.14E-22,2.56E-19
CSGALNACT2,2.926827654,5.326979232,2.43E-22,2.70E-19
SULT1B1,2.997467256,5.411103249,8.70E-22,9.02E-19
FKBP5,3.293222376,7.873383084,1.31E-21,1.18E-18
ATP9A,4.168553416,4.162881963,1.36E-21,1.18E-18
MEF2A,2.557589143,4.484519159,1.36E-21,1.18E-18
DPY19L3,2.904853213,3.685012401,3.29E-21,2.70E-18
ATP11B,2.602230365,6.030667203,4.93E-21,3.83E-18
RALGAPA2,2.566297586,6.159905669,7.51E-21,5.31E-18
ERLIN1,2.604822024,4.310088853,7.51E-21,5.31E-18
NIN,1.92108747,6.08280199,8.80E-21,5.95E-18
SOS2,2.353211591,5.36390873,1.07E-20,6.93E-18
TMED8,2.347698812,4.236960937,1.87E-20,1.16E-17
AGFG1,2.614085492,5.977172449,1.95E-20,1.16E-17
DICER1,2.301265587,5.297156699,2.87E-20,1.65E-17
IL1R2,4.731107911,8.219492024,3.07E-20,1.71E-17
LIPN,3.143300095,3.320681198,5.27E-20,2.82E-17
MAPK14,2.567408784,7.452252445,1.29E-19,6.46E-17
ENTPD7,3.721768269,3.767455744,1.42E-19,6.89E-17
ACSL4,2.410110311,5.392335203,2.03E-19,9.57E-17
TMCO3,2.354113215,4.689288965,2.13E-19,9.72E-17
SORT1,2.808222542,6.262936519,2.53E-19,1.12E-16
E2F3,2.459762889,4.046578288,3.48E-19,1.46E-16
AGTPBP1,2.32515674,5.752774283,3.76E-19,1.54E-16
NABP1,2.166302321,5.22802732,4.40E-19,1.75E-16
ZNF281,2.233550348,4.035099099,5.63E-19,2.19E-16
CPD,2.586151055,6.183617038,7.36E-19,2.79E-16
HPGD,4.287880219,3.202755104,1.18E-18,4.36E-16
ATP13A3,2.111064587,3.292666026,1.43E-18,5.18E-16
MCTP2,2.505199058,6.430896218,1.74E-18,6.13E-16
SSH1,2.251990007,5.357855445,1.91E-18,6.61E-16
PAG1,2.200706623,5.648730915,2.18E-18,7.36E-16
HGF,3.451990099,2.894166489,2.27E-18,7.52E-16
APAF1,2.476717396,4.001647958,2.71E-18,8.79E-16
OTULINL,1.820217157,4.090125674,3.39E-18,1.08E-15
HDAC4,2.038299927,5.514464185,3.72E-18,1.16E-15
EDEM3,2.053669026,3.616637757,3.85E-18,1.17E-15
GNAQ,2.023505236,5.389158547,3.97E-18,1.19E-15
AGO4,2.100742055,6.327945055,4.65E-18,1.35E-15
SLC51A,3.876248543,2.889013531,4.68E-18,1.35E-15
PPP1R3D,2.070990802,4.337747792,6.85E-18,1.90E-15
ZFYVE16,2.156124802,3.967819807,8.95E-18,2.44E-15
ETS2,2.551656994,5.962410379,1.08E-17,2.89E-15
ASPH,2.879441881,4.378052112,1.25E-17,3.21E-15
SAMSN1,2.949892836,5.180295378,1.26E-17,3.21E-15
ZBED6,2.900208236,1.271625623,1.46E-17,3.66E-15
CR1,3.136906911,7.295344387,1.50E-17,3.70E-15
WSB1,2.234775759,6.748852812,2.06E-17,5.00E-15
SLC37A3,2.618811762,4.220011666,2.10E-17,5.01E-15
ATP11A,2.330079473,5.991226875,2.13E-17,5.01E-15
LPGAT1,1.681710078,5.535194582,2.90E-17,6.73E-15
SLCO4C1,2.580744289,3.385002325,4.01E-17,9.04E-15
ZNF445,1.649521615,4.635182012,6.23E-17,1.38E-14
NLRC4,2.391226398,5.42112422,8.37E-17,1.83E-14
USF3,1.668380299,3.456514732,8.62E-17,1.86E-14
TBC1D14,2.522123369,5.068544084,8.98E-17,1.91E-14
UGCG,2.894967653,4.752803604,9.22E-17,1.94E-14
FBXW2,1.813053026,5.417677401,9.47E-17,1.96E-14
WDFY3,2.948884089,6.003873581,1.02E-16,2.09E-14
BCL6,2.860111393,9.583340636,1.04E-16,2.10E-14
GALNT2,2.488247242,6.030275456,1.13E-16,2.25E-14
ACVR1B,2.349275719,4.538400363,1.41E-16,2.77E-14
MGAM,3.838966197,5.88674215,1.66E-16,3.22E-14
CSGALNACT1,2.647824881,4.10521682,1.79E-16,3.44E-14
SIPA1L2,2.932075224,5.244816376,2.07E-16,3.91E-14
NEAT1,1.827250459,7.853133725,2.09E-16,3.91E-14
KIDINS220,1.93108053,5.007406082,2.18E-16,3.99E-14
ACER3,1.990846531,4.392699473,2.61E-16,4.72E-14
CEMIP2,1.918556899,5.357079535,2.71E-16,4.83E-14
IRS2,2.965068299,5.066354817,2.73E-16,4.83E-14
ITGAM,2.313029447,8.136493335,3.03E-16,5.30E-14
CERT1,1.636646232,4.597605145,3.18E-16,5.50E-14
SRPK1,2.04091117,5.993043024,4.39E-16,7.41E-14
TRPS1,2.39369795,3.159274928,4.95E-16,8.27E-14
RNF146,1.825946419,4.154808979,5.88E-16,9.73E-14
PHTF1,2.178972654,3.593458366,7.38E-16,1.18E-13
LBR,2.110904025,5.983808318,7.92E-16,1.24E-13
ZNF106,1.796520682,5.965465477,7.95E-16,1.24E-13
PRKAA1,1.740183044,3.928467181,8.60E-16,1.32E-13
RPS6KA3,1.769540501,5.354829099,8.99E-16,1.36E-13
RP2,2.205474005,3.914445506,1.05E-15,1.56E-13
CD55,2.43696086,7.694192657,1.07E-15,1.58E-13
MEGF9,2.223464446,7.082709953,1.16E-15,1.70E-13
ADAM9,2.705909483,3.163273217,1.23E-15,1.78E-13
SLC2A3,2.441094142,8.410674773,1.38E-15,1.98E-13
ARHGAP24,2.225747405,2.98210927,1.57E-15,2.23E-13
LINC01127,2.637534285,2.522831858,1.58E-15,2.23E-13
FAM217B,2.074572179,3.228568409,1.92E-15,2.67E-13
SEMA6B,3.495274568,3.103537798,1.96E-15,2.70E-13
KDM7A,1.570289095,4.774994999,2.05E-15,2.80E-13
FNDC3B,2.277955781,5.217622444,2.17E-15,2.93E-13
LOC105376244,2.602724102,1.030954293,2.19E-15,2.94E-13
HOOK3,1.458500778,3.857177935,2.28E-15,3.01E-13
LOC107985926,4.829142145,2.750155854,2.28E-15,3.01E-13
CAB39,2.021838791,6.305271889,2.52E-15,3.26E-13
B3GNT5,3.241090138,2.497662467,2.93E-15,3.71E-13
STXBP5,1.774650508,3.892051878,3.33E-15,4.17E-13
MKNK1-AS1,3.094003642,2.13749209,3.43E-15,4.25E-13
TTN,1.872540982,4.290060952,3.44E-15,4.25E-13
RBMS1,1.70006895,5.384029159,3.55E-15,4.31E-13
CLIP1,1.821812522,4.942138808,3.55E-15,4.31E-13
GAS7,2.33010651,7.503029711,4.58E-15,5.43E-13
TET2,2.442491673,5.439156692,4.63E-15,5.43E-13
PLXNC1,2.192263406,7.146328538,5.72E-15,6.58E-13
GRB10,3.836307059,4.48524873,6.72E-15,7.52E-13
GYG1,2.918884974,6.734822904,6.98E-15,7.75E-13
PJA2,1.927682903,5.580318844,7.44E-15,8.21E-13
SLA,1.982895919,7.894825857,8.03E-15,8.79E-13
PXK,1.982847457,5.038931453,8.19E-15,8.90E-13
PGS1,1.863273882,6.761583702,9.03E-15,9.55E-13
TLR4,2.151295844,7.050045424,9.28E-15,9.75E-13
GOLM2,1.500455854,4.198289568,9.45E-15,9.86E-13
ZDHHC20,2.089750458,5.00099553,1.07E-14,1.10E-12
ATXN1,1.662677086,4.960071498,1.07E-14,1.10E-12
BRWD3,1.576703116,3.766789075,1.15E-14,1.17E-12
DACH1,3.35313717,2.02095066,1.17E-14,1.17E-12
CD163,2.529742465,5.850077955,1.40E-14,1.39E-12
FAR1,2.039989869,4.401214137,1.92E-14,1.84E-12
TAOK1,1.592265609,4.253386072,1.92E-14,1.84E-12
DNAJC13,1.942338278,4.353568142,1.97E-14,1.88E-12
KCNE1,2.921591534,2.296271886,1.99E-14,1.89E-12
BNIP2,1.880631884,5.344202152,2.64E-14,2.48E-12
CLEC5A,2.977470014,3.591260423,2.64E-14,2.48E-12
SLC12A6,1.799632185,6.735145631,2.67E-14,2.49E-12
