"","logFC","logCPM","PValue","FDR"
"HBA1",12.228663356134,5.46999149198164,2.45490426756796e-66,2.10716769649366e-64
"DEFA1",11.041722150514,0.182257399741551,1.50569808622223e-28,3.08419642644828e-27
"CHCHD10",11.0209716848489,0.164197392064366,7.67101359738817e-74,8.35265717406837e-72
"PHOSPHO1",10.9964883027692,4.85842280770594,4.21078876718638e-183,8.25292436322387e-180
"FCGR3B",10.6711920247297,7.23285569142521,1.38708250029101e-68,1.29457556963251e-66
"SLC4A1",10.6302761410501,6.65118150272835,3.60532860667628e-86,5.41366258000073e-84
"ALPL",10.4443222570301,5.51436583729997,2.1488354263279e-78,2.62362237511557e-76
"HBM",10.2681948750886,4.94937978551856,1.11669748612584e-48,5.36576744333422e-47
"LOC105376333",10.2124918127613,-0.55972140985597,3.36020729818611e-38,1.11425431502362e-36
"PI3",10.1907716154396,3.41635797039147,3.2015304134171e-74,3.51686699307491e-72
"MIR4477B",10.0833321726495,-0.673833009480648,8.40655663159123e-59,5.80801043420827e-57
"LINC01002",9.92168023577924,1.48065576453071,5.70378184914304e-95,1.15436484934912e-92
"ALAS2",9.90582519202959,7.96961459766525,3.92626526844547e-33,1.02747851252031e-31
"LYL1",9.86203862795628,5.26817073486816,3.08079807607475e-124,1.61585689514011e-121
"CXCR1",9.84300174120587,6.12337428785072,2.99824280076325e-84,4.37849269245579e-82
"RILP",9.81158806421489,-0.910369245391917,5.7644163734732e-38,1.88464531458971e-36
"AHSP",9.71007177601536,4.98986241121476,7.01607250381408e-31,1.62989097922353e-29
"PRKACA",9.59213765446187,-1.09247987170773,1.17067620797172e-65,9.88544474119247e-64
"SELENBP1",9.31176956063638,5.35685568980689,5.3098095318709e-50,2.66126510305976e-48
"TNFRSF10C",9.28170679853946,4.79788340385055,7.04200562546169e-104,1.84674117948287e-101
"MMP9",9.22851498983363,4.49335970195284,5.93660736748744e-63,4.65417519490242e-61
"LOC122455342",9.16495956420936,-1.4458687620084,2.69068415769163e-36,8.22646858360251e-35
"MYL4",9.10216053681724,3.39245069314728,1.73813868559318e-63,1.3860074199744e-61
"HSPA6",9.09281194826603,4.13914751526083,3.70876680352484e-99,8.3199257226784e-97
"BASP1",9.09023234394143,5.1354589687862,2.14207221726913e-125,1.19057652684903e-122
"DEFA3",9.08987507622584,3.28383135742577,2.7326464506688e-30,6.15241966000334e-29
"HBQ1",9.00793121308913,3.11160901052479,1.74819852512976e-50,8.8814686053625e-49
"IGHV5-51",8.98601264758375,-1.58859794415682,4.687260662457e-27,8.92376788390778e-26
"CXCR2",8.95762585466681,6.34711427618331,9.69491419940821e-69,9.11689166342834e-67
"DEFA4",8.92315937509717,-1.65088306928801,3.07296072136755e-15,2.66497401730335e-14
"CEACAM3",8.88826553221112,3.74758202839966,3.86900139331358e-115,1.41252689103534e-112
"KRT23",8.87990463069882,-1.67512713608205,2.00070118247968e-27,3.87235505895847e-26
"MGAT4B",8.8481991577644,-0.793432334118184,1.14158215422214e-46,5.09728751092067e-45
"KLF1",8.83132870576252,2.92525063076418,6.32193308182861e-47,2.85706876255116e-45
"PBX2",8.60712189588933,0.225572984423141,4.87056434248681e-122,2.26718681937333e-119
"LOC100132287",8.58787169409735,-1.01366939454489,9.08643325885543e-45,3.81476536782996e-43
"ALOX5",8.5217772121101,1.09905629750293,6.02684258197907e-51,3.1214685801157e-49
"IGKV6D-21",8.51557015700307,-1.95959251667635,7.14519127527594e-22,1.00407463358491e-20
"SLPI",8.49051175249531,1.69548436380396,9.94738334744515e-51,5.09533161589422e-49
"FKBP8",8.47212957478636,9.26021975746865,3.67147771176729e-157,3.59795153969743e-154
"MMP25",8.47128761384522,6.11932665160609,2.56796341842176e-206,7.35602997989291e-203
"AZU1",8.45310626409294,-2.02552636596876,1.49477943599915e-14,1.22953602422964e-13
"OR2W3",8.45067937491185,2.70872952108466,7.95171281148038e-51,4.08997007440218e-49
"LOC112268337",8.41093688353229,-2.04421086773198,7.96412466785746e-31,1.84208719569158e-29
"FFAR2",8.36393763143353,5.47760058712751,1.15437024876766e-51,6.12358884527903e-50
"SECTM1",8.3517394648699,5.75918512950053,1.34638194777952e-89,2.26868404313853e-87
"RUNDC3A",8.3414943250504,4.17107430969159,2.67246806816902e-67,2.39807321423003e-65
"SBNO2",8.31606370275021,1.26624730365598,2.60465110109408e-72,2.6942945098234e-70
"DCAF15",8.2765440838578,-0.746193183109874,6.23091619483387e-47,2.81935708601967e-45
"CEBPD",8.22162187162301,4.39812323589984,5.31852553061816e-88,8.35681739386876e-86
"DGAT2",8.21372700140443,3.99017486930948,4.83708736582023e-76,5.62900926299311e-74
"CA1",8.19585392883264,4.26865225428415,3.60883197819249e-26,6.59417536976988e-25
"DEFA1B",8.19448159336541,-2.20547716206375,1.1445612642931e-10,6.45597045153148e-10
"IFIT1B",8.14292021081018,2.7846064091714,8.43182601247903e-46,3.65958938087071e-44
"YBX3",8.12578005848652,6.33116449498912,5.96609851383168e-78,7.23685806373218e-76
"NFIX",8.12331142290575,3.15393131685843,2.61578894145142e-68,2.40516949112863e-66
"CCL4",8.12188029578523,-2.25961817406357,9.28811668676614e-19,1.0695119891728e-17
"IGHV6-1",8.11323016612202,-2.26581569998933,2.57636057793105e-09,1.25331275717276e-08
"AQP9",7.97485516829537,5.83840148933263,7.75866669608012e-44,3.13028157199705e-42
"HBZ",7.95693770408892,0.507020236628935,3.22518793751657e-18,3.56176671426986e-17
"SCO2",7.93314875674984,0.673130727482506,7.53949692431519e-66,6.38098468101303e-64
