,logFC,logCPM,PValue,FDR
TGFB1,-6.94662645,6.259128784,4.91E-265,1.83E-260
ZBTB7A,-5.200505561,3.910567021,6.88E-256,1.28E-251
SNRNP70,-4.642967032,4.608019441,6.98E-255,8.66E-251
OGFR,-6.609420481,4.587470745,5.98E-249,5.57E-245
VASP,-6.546787266,6.179552419,5.25E-240,3.91E-236
U2AF2,-4.408221787,3.963339033,1.64E-230,1.02E-226
CYBA,-5.158589345,6.76391878,5.82E-230,3.10E-226
EHBP1L1,-6.234294715,5.369057082,4.15E-228,1.93E-224
ZBTB7B,-5.57302467,4.751054812,1.44E-225,5.96E-222
PPP1R9B,-6.334720196,4.966112158,8.13E-220,3.03E-216
EPN1,-4.955057143,4.23687318,3.50E-215,1.19E-211
WAS,-5.715115173,5.576891595,6.05E-209,1.88E-205
MMP25,-8.471287615,6.119326637,2.57E-206,7.36E-203
GSK3A,-5.284244435,3.612293796,4.77E-194,1.27E-190
SCAF1,-5.354439474,3.043562346,8.42E-191,2.09E-187
TNRC18,-4.824380967,3.889866247,1.12E-187,2.62E-184
LAMP1,-5.565323423,3.807282127,1.99E-187,4.37E-184
FTH1,-5.324283551,7.313768799,3.57E-186,7.38E-183
PHOSPHO1,-10.99648829,4.858422771,4.21E-183,8.25E-180
H1-10,-5.787471093,4.090135455,3.80E-181,7.07E-178
PPP1R12C,-5.424304597,3.995413413,7.49E-180,1.33E-176
NACC1,-5.566644129,2.812402234,1.13E-177,1.91E-174
ARRB2,-4.884907935,6.378391494,1.62E-177,2.62E-174
ARL8A,-5.38759079,2.848496373,9.51E-176,1.48E-172
EFHD2,-5.840293059,6.693315727,2.71E-174,4.04E-171
ZNF787,-5.886566274,2.931061941,1.07E-173,1.54E-170
MARK2,-4.760101079,4.125854409,2.54E-172,3.50E-169
MAZ,-4.28731951,3.878509356,8.48E-171,1.13E-167
STK11,-7.049371102,4.252797007,1.19E-170,1.53E-167
ARHGAP27P1,-5.600030635,1.684957174,5.25E-168,6.52E-165
SLC12A9,-5.003999473,4.325570357,2.71E-167,3.26E-164
CHMP4B,-6.101236037,3.978009576,9.19E-165,1.07E-161
TAF10,-4.276570478,3.84121159,9.56E-165,1.08E-161
SIPA1,-4.461718766,5.319652747,9.66E-164,1.06E-160
TFE3,-4.37783894,4.502107519,1.97E-163,2.09E-160
SH3BP1,-4.946310325,3.19501276,2.35E-163,2.43E-160
MAP2K7,-4.817984302,2.991270787,4.56E-158,4.59E-155
FKBP8,-8.472129575,9.260219756,3.67E-157,3.60E-154
GRK2,-3.312969879,6.203188902,7.75E-157,7.40E-154
SH3BP5L,-5.248267416,3.069276875,6.00E-154,5.58E-151
ATP6V0C,-4.427188055,5.685039156,1.16E-153,1.05E-150
YPEL3,-4.819664968,5.766339022,2.39E-147,2.07E-144
CENPB,-4.074519526,3.007066442,3.64E-146,3.08E-143
CCDC88B,-4.448672001,5.227957945,3.54E-144,2.93E-141
FRAT2,-7.57842941,4.949630299,7.87E-144,6.37E-141
TOR4A,-5.826863034,2.980635502,2.47E-142,1.96E-139
GMIP,-3.802473537,5.205474849,8.81E-135,6.69E-132
AP5B1,-4.682970841,5.000008765,4.56E-134,3.39E-131
DHX34,-4.526525738,3.891605246,8.35E-134,6.09E-131
HDGFL2,-5.602419342,2.080801609,5.21E-133,3.73E-130
LRFN1,-6.468905866,2.275888566,5.03E-131,3.54E-128
SLC25A37,-6.571638218,8.191209314,6.76E-131,4.66E-128
MLLT1,-3.901487979,3.286734877,1.68E-129,1.14E-126
BRI3,-5.148347809,4.025211534,1.98E-129,1.32E-126
SDF4,-3.634526923,4.178593324,3.58E-129,2.34E-126
ZER1,-4.499991997,4.103169711,7.04E-128,4.52E-125
GRINA,-5.676162426,5.357502662,1.42E-127,8.98E-125
ATG16L2,-4.392375545,5.479252404,2.30E-127,1.43E-124
CEBPB,-7.654049978,3.426945598,2.40E-127,1.47E-124
R3HDM4,-5.031523766,6.986405261,4.04E-127,2.43E-124
TNK2,-3.916654115,4.59566478,1.03E-126,6.09E-124
FRAT1,-5.519944438,3.273046328,3.89E-126,2.26E-123
ERGIC1,-4.175034448,4.595526321,6.33E-126,3.62E-123
ZDHHC18,-4.407391977,5.523270017,1.79E-125,1.01E-122
BASP1,-9.090232333,5.135458939,2.14E-125,1.19E-122
DNM2,-3.179923227,5.129549631,6.30E-125,3.45E-122
DAZAP1,-3.271413951,3.54987193,1.82E-124,9.82E-122
MAP7D1,-3.947746072,4.708559355,2.09E-124,1.11E-121
LYL1,-9.862038623,5.268170708,3.08E-124,1.62E-121
RXRA,-5.270646096,4.766200861,4.41E-124,2.28E-121
SLC45A4,-4.408128839,3.204082365,6.76E-124,3.45E-121
MTA2,-3.169060114,3.744953743,4.16E-123,2.09E-120
H3-3A,-3.884205475,5.955112317,4.59E-123,2.28E-120
MBD6,-4.027416058,4.235335731,1.04E-122,5.10E-120
PHC2,-4.644829195,4.678945077,1.22E-122,5.91E-120
LRCH4,-4.436717029,5.097729796,1.89E-122,8.89E-120
PBX2,-8.607121896,0.225572277,4.87E-122,2.27E-119
C5AR2,-5.838233217,2.978010842,1.44E-121,6.61E-119
SRSF9,-3.545351513,2.385822022,4.34E-121,1.97E-118
LOC729737,-7.315972006,4.289747121,4.48E-121,2.01E-118
GNAI2,-4.509678863,6.862643287,4.84E-121,2.15E-118
KIAA0930,-5.163101065,4.360977324,1.51E-120,6.63E-118
SLC16A3,-5.947223961,4.583689975,1.74E-120,7.53E-118
USF2,-3.024895852,4.614941445,4.12E-120,1.76E-117
ATXN7L3,-2.711311318,3.670335117,4.54E-120,1.92E-117
PLPPR2,-4.497045178,3.635060779,6.15E-120,2.57E-117
YBX1,-4.24006357,6.151810618,1.48E-119,6.13E-117
CDC34,-6.459994386,4.695192915,1.39E-118,5.69E-116
ST3GAL2,-3.969905743,4.244329284,1.73E-118,7.00E-116
TRIR,-3.751049301,4.724958394,1.79E-118,7.15E-116
ZNF746,-3.918062018,2.698314215,7.18E-118,2.84E-115
RABL6,-3.80990674,3.700021478,1.73E-117,6.77E-115
TNFRSF1A,-4.959218658,5.396204031,7.00E-117,2.72E-114
JUND,-4.157511647,4.596800755,1.43E-116,5.49E-114
ERF,-4.549424903,2.699557323,2.40E-116,9.11E-114
RARA,-5.381456933,4.774119383,2.70E-116,1.01E-113
UBE2M,-4.813996964,2.789441663,6.72E-116,2.50E-113
SF3A2,-3.989231228,3.296055212,1.48E-115,5.45E-113
CEACAM3,-8.888265495,3.747581952,3.87E-115,1.41E-112
MAP3K11,-5.085012366,4.86226227,1.02E-114,3.70E-112
TRAPPC12,-4.942679365,0.920862678,2.95E-114,1.06E-111
KDM4B,-3.982299997,3.531072341,3.18E-113,1.13E-110
MTA1,-3.608636345,2.286042453,1.13E-112,3.97E-110
HNRNPUL1,-2.763772044,5.118030408,1.76E-112,6.13E-110
FBRS,-3.359514599,4.359420105,2.66E-112,9.17E-110
CAPN15,-3.69417439,3.590315582,3.45E-112,1.18E-109
KLF2,-3.873389728,6.148595898,2.63E-111,8.89E-109
AKT2,-2.544315173,4.447052326,5.09E-111,1.71E-108
SH3BP2,-3.461432303,5.249438438,3.71E-110,1.23E-107
PRKCD,-4.483360738,4.728216185,1.78E-109,5.86E-107
NTNG2,-6.746482449,4.384587744,4.42E-109,1.43E-106
INO80E,-3.542821254,2.980364524,4.80E-109,1.54E-106
MIDN,-4.937914045,4.476265366,5.30E-109,1.69E-106
FBXL19,-5.563000551,1.441205804,6.17E-109,1.95E-106
SAP25,-4.472671572,2.91035504,7.89E-109,2.47E-106
ZNF865,-5.360225884,2.35358361,8.65E-109,2.68E-106
PABPN1,-7.834334019,-0.223437905,1.81E-108,5.56E-106
PIK3R2,-4.625835112,2.194316244,1.92E-108,5.86E-106
DNAJB2,-5.193503396,4.035562524,2.10E-108,6.35E-106
SRF,-3.335619657,2.977473974,3.03E-108,9.10E-106
KLF16,-4.538056568,2.512615545,5.64E-108,1.68E-105
ADAP1,-4.560322407,3.561254218,6.35E-108,1.88E-105
UBALD1,-6.635543375,2.327561867,1.59E-107,4.66E-105
CIC,-3.344573049,4.101570478,2.98E-107,8.67E-105
ABHD17A,-4.979016455,4.666789566,5.22E-107,1.51E-104
SH3GLB2,-3.640894134,3.439275633,2.22E-106,6.35E-104
MED25,-4.856907959,4.089296327,2.99E-106,8.50E-104
AKAP8L,-3.319747824,3.391299867,6.21E-106,1.75E-103
PPP1R37,-5.062898839,1.139366517,7.65E-106,2.14E-103
PLEKHO1,-4.514072722,4.725499226,9.86E-106,2.74E-103
STK40,-3.825228441,4.888560572,1.34E-105,3.70E-103
PNPLA2,-4.279781718,4.747880259,2.14E-105,5.87E-103
MARK4,-3.994927881,2.1025125,3.30E-105,8.97E-103
FAM89B,-4.777580401,3.647986396,1.51E-104,4.06E-102
TRIOBP,-3.409968664,4.050996952,1.54E-104,4.13E-102
PPP6R1,-2.758792164,5.457730212,2.10E-104,5.59E-102
PPDPF,-4.737341291,4.721323631,3.66E-104,9.67E-102
TNFRSF10C,-9.28170674,4.797883366,7.04E-104,1.85E-101
PRPF19,-3.170455563,2.774162319,1.33E-103,3.46E-101
DRAP1,-3.924981908,4.643548824,2.85E-103,7.36E-101
NFE2L1,-3.357431254,2.994796481,4.15E-103,1.07E-100
FBRSL1,-4.015050402,2.790435802,4.94E-103,1.26E-100
NOP53,-4.034482278,5.959835633,4.99E-103,1.26E-100
ACAP3,-3.973423391,2.682455743,7.09E-103,1.78E-100
TYMP,-7.376461309,6.609645397,1.49E-102,3.73E-100
TIMP2,-5.845138267,3.958544237,1.89E-102,4.68E-100
NIBAN2,-4.676040432,2.356124681,5.10E-102,1.26E-99
H3P6,-3.777496629,3.245560478,6.76E-102,1.66E-99
FOXO4,-5.074652753,3.355413668,1.82E-101,4.42E-99
GNB2,-4.514189512,5.429796542,9.66E-101,2.34E-98
HDGF,-4.300058691,5.205780186,1.43E-100,3.43E-98
MAP2K2,-3.404815851,4.843387052,2.27E-100,5.41E-98
RAB35,-3.504457193,3.373835803,2.91E-100,6.90E-98
CMIP,-4.387241624,3.532536496,3.43E-100,8.09E-98
SOWAHD,-6.785933841,0.51655187,8.16E-100,1.91E-97
AATK,-6.565546163,3.401512499,1.39E-99,3.23E-97
LRP10,-3.418539979,6.435445903,1.66E-99,3.83E-97
NADK,-4.979428561,5.230817123,2.29E-99,5.27E-97
WIZ,-3.131146331,2.355814569,2.71E-99,6.19E-97
