,logFC,logCPM,PValue,FDR
RNR2,10.66671816,15.1434173,1.08E-140,8.35E-138
TRNT,10.28730761,0.509512438,4.72E-42,1.78E-40
LOC105376364,9.696008595,-0.081706613,2.24E-39,7.82E-38
CDH8,9.209036734,-0.293710593,5.60E-39,1.92E-37
SNORD27,9.079620928,-0.706984574,3.58E-35,1.04E-33
MDGA2,9.045962541,-0.746247536,3.22E-35,9.34E-34
LOC105370777,8.997673349,0.135105216,3.16E-22,4.55E-21
ANO3,8.864310788,-0.92863935,1.14E-29,2.48E-28
SNX9-AS1,8.855885538,-0.934383086,8.12E-24,1.28E-22
TEX15,8.705627166,-1.088545194,6.17E-29,1.29E-27
OTOGL,8.673801412,-1.127809867,1.07E-27,2.10E-26
GABRB2,8.670580752,-1.128221682,2.99E-29,6.38E-28
LOC105379080,8.650752596,-0.442373247,7.41E-32,1.82E-30
LOC105375153,8.64142437,-1.166628102,8.79E-27,1.65E-25
FSIP2,8.636980523,0.273510296,1.42E-55,8.71E-54
LOC101929278,8.603752266,-1.196561389,8.48E-30,1.86E-28
PTPRQ,8.581704529,-1.214727172,8.44E-36,2.52E-34
PKHD1,8.543407998,-0.205668258,4.13E-42,1.56E-40
ADGRL3,8.530186767,-1.271969908,1.10E-31,2.69E-30
OR4K2,8.524633086,-1.272674014,2.06E-33,5.47E-32
KCNH5,8.521246998,-1.27981458,8.38E-30,1.84E-28
CSRNP3,8.517039339,-1.284344738,2.87E-31,6.84E-30
LOC105378798,8.514857154,-1.289050331,5.07E-28,1.01E-26
LOC107987107,8.439574524,-1.087218122,2.11E-34,5.92E-33
ASB15,8.373040655,-1.153150798,7.93E-30,1.74E-28
LOC105370236,8.360513558,-1.447109186,3.59E-26,6.55E-25
FGF12,8.333702054,-1.193873083,3.58E-31,8.47E-30
LINC02600,8.324388311,-1.481546607,5.84E-28,1.16E-26
LOC105377567,8.315106422,-1.492306669,7.31E-28,1.44E-26
DLG2-AS2,8.310067871,-1.51025126,4.84E-24,7.77E-23
RNR1,8.295998316,10.43655118,2.07E-109,6.75E-107
ST7-OT4,8.295108367,-1.502262433,3.25E-29,6.92E-28
SI,8.276818023,-1.530069158,1.29E-28,2.65E-27
LOC112268150,8.273970387,-1.526921227,1.74E-32,4.42E-31
OR56A1,8.263693743,-1.538316809,2.27E-30,5.15E-29
LOC105375149,8.245539872,-1.565845935,1.20E-22,1.77E-21
LOC105374235,8.242427716,-1.565776568,1.82E-23,2.80E-22
HMCN2,8.228278314,-1.570604948,1.53E-35,4.52E-34
LOC105373703,8.173746494,-1.630927326,1.37E-28,2.82E-27
LOC105375097,8.16220196,-1.649212549,1.43E-23,2.23E-22
SYT14,8.153292957,-1.656301682,4.79E-25,8.26E-24
CNTN6,8.145665135,-1.661687745,2.21E-28,4.48E-27
LOC112268125,8.130421974,-1.679584415,2.59E-22,3.75E-21
LOC105373648,8.119596841,-1.700847303,1.02E-23,1.61E-22
GABRA2,8.076193583,-1.733865365,4.40E-22,6.27E-21
PPP1R2C,8.067333319,-1.735888581,1.90E-08,8.35E-08
LOC105378747,8.056993466,-1.747657842,6.63E-25,1.13E-23
LINC02822,8.056396974,-1.762068159,2.29E-23,3.53E-22
LOC105376960,8.04918199,-1.75727178,3.27E-26,6.00E-25
LOC105373776,8.046586143,-1.759684037,4.76E-26,8.65E-25
GLI2,8.010556615,-1.798636476,1.48E-24,2.46E-23
LOC105377445,8.007205816,-1.80390021,2.60E-25,4.54E-24
LOC105378340,8.004617383,-1.318960867,7.78E-33,2.01E-31
LOC105370781,7.991323399,0.218141502,1.58E-28,3.24E-27
LOC105374473,7.981920574,-1.828388546,2.42E-19,2.91E-18
LOC105375997,7.970329891,-1.835238959,1.04E-27,2.03E-26
LOC105377992,7.968719269,-1.847333828,8.43E-22,1.18E-20
MAPK4,7.963781072,-1.84660236,1.26E-23,1.96E-22
MROH9,7.955131728,-1.864128471,9.37E-19,1.08E-17
CNTN5,7.947961482,-0.658515904,6.27E-33,1.63E-31
TSG1,7.944530937,-1.880494472,1.64E-19,2.00E-18
MIR4485,7.913689491,0.838659668,6.47E-35,1.85E-33
KCNMB2-AS1,7.912728785,-1.652565434,1.79E-21,2.45E-20
LOC105372031,7.902940633,-1.921089241,4.47E-19,5.28E-18
CNTN3,7.898876531,-1.910820463,7.08E-27,1.34E-25
PKIA-AS1,7.883364434,-1.639606414,1.65E-20,2.15E-19
GABRG1,7.880070713,-1.930280624,1.59E-23,2.47E-22
CLVS2,7.879771716,-0.865037961,4.89E-29,1.03E-27
