,logFC,logCPM,PValue,FDR
RASL11B,2.662391842,-1.444098186,1.04E-10,1.37E-06
GAL3ST4,1.191843483,0.921684119,3.46E-09,2.27E-05
GIMAP8,1.387286093,2.191093691,2.15E-08,9.39E-05
LDLRAP1,1.017742397,4.516463921,7.50E-08,0.000201067
PLK2,2.27396462,1.922080628,7.93E-08,0.000201067
MTO1,0.620894088,3.225598484,9.20E-08,0.000201067
GGCX,0.680799351,1.373568603,1.42E-07,0.000232567
TOB2,0.975687426,2.257891186,2.55E-07,0.00037095
ZNF420,0.930825456,1.338974164,3.31E-07,0.000395174
SNORD80,1.063465033,0.337801098,3.32E-07,0.000395174
LBH,0.891493483,5.404610459,5.82E-07,0.000592029
ZNF563,0.875135806,0.716631047,5.87E-07,0.000592029
SNHG12,0.942846174,2.576771888,8.39E-07,0.000785809
MAT2A,0.973117255,4.280598915,1.30E-06,0.001113931
SERTAD1,1.446347205,3.763118081,1.36E-06,0.001113931
FAM222A-AS1,2.600283528,-1.67617473,1.52E-06,0.001156514
INTS6,0.947192594,3.382059238,1.63E-06,0.001156514
TUBD1,0.86935487,1.187652871,1.68E-06,0.001156514
ARSK,0.847549578,0.019320321,1.79E-06,0.001173243
LINC00402,1.106828378,2.314617379,2.03E-06,0.001267644
HSPA2,1.820072802,-0.068699751,2.55E-06,0.001519063
LOC102723506,1.164339948,-0.675719352,2.95E-06,0.001679373
SRSF5,0.496088356,6.023246402,3.21E-06,0.001755514
BRD8,0.675807547,2.931015839,4.68E-06,0.002360089
ZFP36L1,0.586916973,5.389053045,5.20E-06,0.002434702
LOC112268274,1.190408197,-0.794622877,5.94E-06,0.002652334
FXR2,0.961821714,0.362639921,6.07E-06,0.002652334
ZNF566,0.833960923,0.404491412,6.59E-06,0.002740988
CEP68,0.624378589,3.444614479,7.54E-06,0.002823432
EFNA4,0.947780562,-0.09905486,8.41E-06,0.002905671
SGSM3-AS1,1.389224715,0.024904582,8.42E-06,0.002905671
LOC107986924,1.940608939,-1.031052192,9.25E-06,0.002924813
ZNF816,1.149852206,-0.390326892,9.43E-06,0.002924813
ZNF266,0.650462031,3.634426379,9.60E-06,0.002924813
RAB26,1.094368422,0.0034289,1.25E-05,0.003637446
WDR6,0.64377784,4.488329685,1.28E-05,0.003643072
NR4A1,1.555307811,2.381103141,1.36E-05,0.003785921
SNORD139,0.851372198,-0.22306215,1.50E-05,0.003812216
NUAK2,1.048589533,2.397991103,1.52E-05,0.003812216
HEXIM1,0.727373808,3.406447962,1.53E-05,0.003812216
LOC729683,0.656301006,0.219763989,1.53E-05,0.003812216
ZNF671,0.66468938,1.725902709,1.54E-05,0.003812216
TAGAP,1.060263378,5.183835041,1.57E-05,0.003812216
ZNF550,0.741469207,1.796225782,1.80E-05,0.004219643
ZNF146,0.678746671,2.204905354,1.89E-05,0.004330055
SETD6,0.635400363,1.231349427,2.51E-05,0.005122598
ZBTB48,0.491025529,2.257533504,2.51E-05,0.005122598
PYGM,0.752678373,0.889411965,2.53E-05,0.005122598
DNAAF2,1.086076472,0.384760235,2.58E-05,0.005122598
ZNF649,0.936335516,-0.210897534,2.97E-05,0.005721064
NOP53,0.86298589,3.583177904,3.05E-05,0.005792306
IL16,0.64275421,4.899483744,3.12E-05,0.005837052
GIMAP1,0.906475802,2.690991387,3.21E-05,0.00591782
LOC107985900,1.52835357,-1.031210001,3.71E-05,0.006413407
ZNF696,1.05912374,-0.772822001,3.80E-05,0.006413407
FAM200A,0.807774821,-0.253641124,3.87E-05,0.006413407
TUBA1A,0.698056984,5.370420764,4.29E-05,0.006700913
JKAMP,0.564890343,2.611093186,4.41E-05,0.006706019
SNX32,1.083460553,0.182782663,4.42E-05,0.006706019
APBB1,0.586899823,4.300764717,4.45E-05,0.006706019
METTL21C,0.965337532,-0.816835878,4.81E-05,0.007032558
KRIT1,0.516072189,1.95364652,4.83E-05,0.007032558
TAF7,0.4213057,4.684430159,4.98E-05,0.007087875
NOG,1.562749442,0.374177699,5.17E-05,0.007284532
TNFRSF10D,1.197779457,1.318663007,5.40E-05,0.007429951
ANXA2R,0.486766134,2.990334169,5.47E-05,0.007429951
LY9,0.588254064,4.25739957,5.50E-05,0.007429951
ABRAXAS1,0.65117793,1.429006858,5.72E-05,0.007648405
NIFK-AS1,0.742842918,0.324852795,5.84E-05,0.007733442
ASTL,1.222292648,0.528065008,6.24E-05,0.008093273
LHFPL4,1.037310607,-0.727319744,6.49E-05,0.00818109
SIRT3,0.5005922,1.599073291,6.49E-05,0.00818109
RBM14,0.528117461,3.463452316,6.57E-05,0.00820226
SUSD3,0.650200173,3.624707823,7.11E-05,0.008791411
CRLF3,0.656676281,3.676178465,7.20E-05,0.008815692
ZNF84,0.686009047,1.99395826,7.70E-05,0.009216718
TUBE1,0.611181823,1.549653831,9.02E-05,0.010411663
NFS1,0.50417211,2.142748747,9.23E-05,0.010431403
LRRN3,1.913339053,1.918492674,9.34E-05,0.010459265
ZNF181,0.671532092,0.743419515,9.69E-05,0.010735117
DENND2D,0.742473872,4.757322366,9.83E-05,0.010735117
PPWD1,0.462252608,3.116549022,0.000101211,0.010914159
CASTOR1,0.778997899,0.959022036,0.000105252,0.011127322
UTP6,0.55054866,2.460644083,0.000107444,0.011127322
KLHL6,0.50763207,3.619214424,0.000107849,0.011127322
ARL4D,1.369723271,0.085711006,0.000108774,0.011127322
LOC107985230,0.860065441,-0.18941138,0.000109438,0.011127322
PCYOX1,0.56811176,1.823120332,0.000109524,0.011127322
MOB3C,0.664090768,1.511255882,0.000110413,0.011131347
RGCC,0.901516056,2.989055376,0.000111275,0.011132589
ZNF284,0.689819599,0.569592233,0.000113606,0.011279706
HINFP,0.618142398,1.816532188,0.000116113,0.011391678
SLC25A25,0.694071801,1.72754475,0.000116472,0.011391678
ARMC1,0.492600335,2.008129975,0.00011742,0.01139935
DAGLB,0.670045526,2.162240117,0.000118553,0.011424695
C17orf100,0.829481648,-0.771610498,0.000119534,0.011435129
RND1,1.545658293,-0.500384425,0.00012124,0.011514284
LAIR1,1.304177685,-1.32054956,0.000122872,0.011585333
OXSM,0.72268016,0.876627529,0.000126047,0.011716101
IRGM,1.111534629,-0.864370853,0.000127312,0.011750393
ZNF227,0.685700052,1.483741168,0.00013328,0.01198312
LOC112267872,0.754864399,0.209706079,0.000134262,0.01198312
HELQ,0.440514476,2.41418836,0.000142575,0.012243319
ZNF44,0.485935746,2.756901372,0.000143073,0.012243319
TCTN2,0.650420495,0.284185179,0.000156103,0.012872002
GIMAP6,0.800592202,3.972685118,0.000156161,0.012872002
AASDH,0.409306381,1.503865261,0.000164216,0.013285276
KRBOX4,0.621040177,1.668001413,0.000169716,0.013562772
CD40LG,1.198595854,2.748649531,0.000176345,0.013922726
LOC112268196,0.915867252,0.127194757,0.000178701,0.013940795
LOC101929698,1.192627118,-0.729073357,0.00018011,0.01396758
RPP38-DT,1.061366404,-0.689227051,0.000185563,0.014222165
UBE2S,0.870452868,0.52652006,0.000190122,0.014486889
CYB561D1,0.572265196,1.881380342,0.000191495,0.014507144
LEF1-AS1,1.292280986,-0.406082517,0.000202056,0.015086936
MARCKSL1,0.973685599,1.05329351,0.000202602,0.015086936
NOP56,0.432796704,4.3174308,0.000207928,0.015396106
JRKL,0.739599365,-0.351894492,0.000215435,0.015862314
KCNQ1OT1,0.761848305,3.727035636,0.000223069,0.016063393
CITED2,0.64335769,2.254212577,0.000226972,0.016166792
PDZD2,0.770405315,-0.182878092,0.000235349,0.016672912
IL17RC,1.210382561,-0.283361187,0.000238968,0.016838246
ZNF74,0.917649897,0.369120116,0.000240277,0.016839946
IER2,1.214012259,5.772771743,0.00024272,0.016920694
PAQR8,0.976187083,0.349904519,0.00024805,0.016931982
NFYA,0.504690704,2.679602343,0.000254322,0.017105845
ZNF347,0.952823404,-0.352040691,0.000255105,0.017105845
ASF1A,0.700926387,1.286227262,0.000255818,0.017105845
RNASEL,0.689275081,1.766337326,0.000266085,0.017487641
SCYL3,0.561013446,1.234418435,0.000269091,0.017487641
EIF2S3,0.538087416,6.094479657,0.000269291,0.017487641
RPL7L1,0.396513696,2.286642951,0.000278228,0.017649934
COG7,0.441074851,1.825676975,0.000278768,0.017649934
ZFX,0.524761882,3.067942004,0.000293886,0.018429068
LOC112268199,0.959481713,1.143068037,0.000298043,0.018487371
JADE1,0.542348786,3.70185641,0.000304954,0.018676301
CSKMT,0.782865765,-0.055604013,0.000310468,0.018925554
IQCN,1.051955252,3.876515692,0.00031569,0.019066524
SBNO1,0.411472662,4.42329988,0.000333082,0.019752825
C2orf42,0.474273831,1.852606684,0.000341177,0.020051395
LRIF1,0.461810599,1.453759453,0.000345718,0.020128323
