Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR15042704_1	47.39966286749225	46.0	38.0	10.0	11422321.0
SRR15042704_2	46.69353191696849	46.0	38.0	10.0	11422321.0
SRR15042705_1	47.07571313967325	46.0	38.0	20.0	9129064.0
SRR15042705_2	46.30642080404306	46.0	38.0	20.0	9129064.0
SRR15042706_1	54.64118992372972	47.0	38.0	30.0	13131389.0
SRR15042706_2	53.91172856888675	47.0	38.0	30.0	13131389.0
SRR15042707_1	49.35561181167966	44.0	38.0	20.0	8886852.0
SRR15042707_2	48.39331387530985	44.0	38.0	20.0	8886852.0
SRR15042708_1	46.47905393725753	46.0	38.0	20.0	9999595.0
SRR15042708_2	45.71428887475327	46.0	38.0	20.0	9999595.0
SRR15042709_1	44.59466388835099	46.0	38.0	20.0	7852588.0
SRR15042709_2	46.81382596567359	46.0	38.0	20.0	7852588.0
SRR15042710_1	51.21678288921453	46.0	38.0	30.0	11341893.0
SRR15042710_2	53.16273564510404	46.0	38.0	30.0	11341893.0
SRR15042711_1	45.00169093771201	46.0	38.0	10.0	10201652.0
SRR15042711_2	44.2703937458781	46.0	38.0	10.0	10201652.0
SRR15042712_1	51.75418325852472	47.0	38.0	30.0	10103769.0
SRR15042712_2	50.941414266552606	47.0	38.0	30.0	10103769.0
SRR15042713_1	55.814503236446335	46.0	38.0	30.0	11046471.0
SRR15042713_2	55.01985496553985	46.0	38.0	30.0	11046471.0
SRR15042714_1	56.24032099472871	45.0	38.0	30.0	11453059.0
SRR15042714_2	55.44333960860949	45.0	38.0	30.0	11453059.0
SRR15042715_1	56.19784093079267	44.0	38.0	30.0	8831798.0
SRR15042715_2	55.45405798436532	44.0	38.0	30.0	8831798.0
SRR15042716_1	63.07962390891543	44.0	38.0	30.0	11837865.0
SRR15042716_2	62.33256774268032	44.0	38.0	30.0	11837865.0
SRR15042717_1	47.530421376091155	46.0	38.0	20.0	10762238.0
SRR15042717_2	49.73453438610278	46.0	38.0	20.0	10762238.0
SRR15042718_1	42.348563197745214	47.0	38.0	20.0	8809829.0
SRR15042718_2	44.48696871850495	47.0	38.0	20.0	8809829.0
SRR15042719_1	50.00863587322373	45.0	38.0	30.0	10140478.0
SRR15042719_2	51.96455265124034	46.0	38.0	30.0	10140478.0
SRR15042720_1	54.89168865325896	47.0	38.0	30.0	10960760.0
SRR15042720_2	56.673375610762214	47.0	38.0	30.0	10960760.0
SRR15042721_1	52.23989707551185	47.0	38.0	30.0	11695856.0
SRR15042721_2	54.074152234769244	47.0	38.0	30.0	11695856.0
SRR15042722_1	51.331002530186	46.0	38.0	30.0	11450124.0
SRR15042722_2	53.51844001490903	46.0	38.0	30.0	11450124.0
SRR15042723_1	51.361825959739946	47.0	38.0	30.0	10410250.0
SRR15042723_2	53.48766852523572	47.0	38.0	30.0	10410250.0
SRR15042724_1	52.19948986095256	45.0	38.0	30.0	13067043.0
SRR15042724_2	51.55820762030135	45.0	38.0	30.0	13067043.0
SRR15042725_1	47.31020753815854	45.0	38.0	20.0	10791743.0
SRR15042725_2	46.465540459009105	45.0	38.0	20.0	10791743.0
SRR15042726_1	51.29202332156691	45.0	38.0	20.0	12318492.0
SRR15042726_2	50.658542932434656	45.0	38.0	20.0	12318492.0
SRR15042727_1	54.063165094783784	47.0	38.0	20.0	9660258.0
SRR15042727_2	53.24306765613999	47.0	38.0	20.0	9660258.0
SRR15042728_1	50.254324766719975	45.0	38.0	30.0	8021457.0
SRR15042728_2	49.33369088648608	45.0	38.0	20.0	8021457.0
SRR15042729_1	51.37263033540053	46.0	38.0	30.0	9305124.0
SRR15042729_2	50.41911654825845	46.0	38.0	30.0	9305124.0
SRR15042749_1	53.49942133600607	46.0	38.0	30.0	7316868.0
SRR15042749_2	52.40051067526126	46.0	38.0	30.0	7316868.0
SRR15042750_1	49.73034596105042	46.0	38.0	20.0	6383565.0
SRR15042750_2	48.85193195520845	46.0	38.0	20.0	6383565.0
SRR15042751_1	52.43817575120615	46.0	38.0	30.0	10626432.0
SRR15042751_2	51.432980965102146	46.0	38.0	30.0	10626432.0
SRR15042752_1	47.542482040050885	46.0	38.0	20.0	7382176.0
SRR15042752_2	46.701382610121144	46.0	38.0	20.0	7382176.0
SRR15042753_1	47.696480037820244	46.0	38.0	20.0	7875670.0
SRR15042753_2	46.8082916114994	46.0	38.0	20.0	7875670.0
SRR15042754_1	60.606737927959266	48.0	38.0	30.0	14168811.0
SRR15042754_2	59.712303123030395	48.0	38.0	30.0	14168811.0
SRR15042755_1	40.54287510898551	45.0	38.0	20.0	8202613.0
SRR15042755_2	42.65375051525295	45.0	38.0	20.0	8202613.0
SRR15042756_1	48.94525345338573	46.0	38.0	20.0	11904021.0
SRR15042756_2	51.042168845735894	46.0	38.0	30.0	11904021.0
SRR15042757_1	42.46860642235137	46.0	38.0	10.0	5302639.0
SRR15042757_2	41.77161782726188	46.0	38.0	10.0	5302639.0
SRR15042758_1	48.78172613667642	47.0	38.0	10.0	6809782.0
