Module	Section	Sample Name	Source
FastQC	all_sections	SRR15042704_1	/home/nyamarim/qualitycontrol/SRR15042704_1_fastqc.zip
FastQC	all_sections	SRR15042704_2	/home/nyamarim/qualitycontrol/SRR15042704_2_fastqc.zip
FastQC	all_sections	SRR15042705_1	/home/nyamarim/qualitycontrol/SRR15042705_1_fastqc.zip
FastQC	all_sections	SRR15042705_2	/home/nyamarim/qualitycontrol/SRR15042705_2_fastqc.zip
FastQC	all_sections	SRR15042706_1	/home/nyamarim/qualitycontrol/SRR15042706_1_fastqc.zip
FastQC	all_sections	SRR15042706_2	/home/nyamarim/qualitycontrol/SRR15042706_2_fastqc.zip
FastQC	all_sections	SRR15042707_1	/home/nyamarim/qualitycontrol/SRR15042707_1_fastqc.zip
FastQC	all_sections	SRR15042707_2	/home/nyamarim/qualitycontrol/SRR15042707_2_fastqc.zip
FastQC	all_sections	SRR15042708_1	/home/nyamarim/qualitycontrol/SRR15042708_1_fastqc.zip
FastQC	all_sections	SRR15042708_2	/home/nyamarim/qualitycontrol/SRR15042708_2_fastqc.zip
FastQC	all_sections	SRR15042709_1	/home/nyamarim/qualitycontrol/SRR15042709_1_fastqc.zip
FastQC	all_sections	SRR15042709_2	/home/nyamarim/qualitycontrol/SRR15042709_2_fastqc.zip
FastQC	all_sections	SRR15042710_1	/home/nyamarim/qualitycontrol/SRR15042710_1_fastqc.zip
FastQC	all_sections	SRR15042710_2	/home/nyamarim/qualitycontrol/SRR15042710_2_fastqc.zip
FastQC	all_sections	SRR15042711_1	/home/nyamarim/qualitycontrol/SRR15042711_1_fastqc.zip
FastQC	all_sections	SRR15042711_2	/home/nyamarim/qualitycontrol/SRR15042711_2_fastqc.zip
FastQC	all_sections	SRR15042712_1	/home/nyamarim/qualitycontrol/SRR15042712_1_fastqc.zip
FastQC	all_sections	SRR15042712_2	/home/nyamarim/qualitycontrol/SRR15042712_2_fastqc.zip
FastQC	all_sections	SRR15042713_1	/home/nyamarim/qualitycontrol/SRR15042713_1_fastqc.zip
FastQC	all_sections	SRR15042713_2	/home/nyamarim/qualitycontrol/SRR15042713_2_fastqc.zip
FastQC	all_sections	SRR15042714_1	/home/nyamarim/qualitycontrol/SRR15042714_1_fastqc.zip
FastQC	all_sections	SRR15042714_2	/home/nyamarim/qualitycontrol/SRR15042714_2_fastqc.zip
FastQC	all_sections	SRR15042715_1	/home/nyamarim/qualitycontrol/SRR15042715_1_fastqc.zip
FastQC	all_sections	SRR15042715_2	/home/nyamarim/qualitycontrol/SRR15042715_2_fastqc.zip
FastQC	all_sections	SRR15042716_1	/home/nyamarim/qualitycontrol/SRR15042716_1_fastqc.zip
FastQC	all_sections	SRR15042716_2	/home/nyamarim/qualitycontrol/SRR15042716_2_fastqc.zip
FastQC	all_sections	SRR15042717_1	/home/nyamarim/qualitycontrol/SRR15042717_1_fastqc.zip
